Frame Number,Processing Time (s),False Positives,False Negatives,True Positives,ID Switches,IoU Sum,MOTA,Precision,Recall,MOTP,IoU per True Positive
8,5.432668685913086,0,33,1,0,0.6351945379723157,0.02941176470588236,1.0,0.029411764705882353,0.6351945379723157,[0.6351945379723157]
9,0.7413973808288574,0,20,1,0,0.685899461373974,0.04761904761904767,1.0,0.047619047619047616,0.685899461373974,[0.685899461373974]
10,0.531907320022583,0,9,1,0,0.5573856361308346,0.09999999999999998,1.0,0.1,0.5573856361308346,[0.5573856361308346]
11,0.5548248291015625,0,44,1,0,0.6006832947502053,0.022222222222222254,1.0,0.022222222222222223,0.6006832947502053,[0.6006832947502053]
12,0.5305643081665039,0,15,1,0,0.5874411150502646,0.0625,1.0,0.0625,0.5874411150502646,[0.5874411150502646]
13,0.6792707443237305,0,15,1,0,0.699009900990099,0.0625,1.0,0.0625,0.699009900990099,[0.699009900990099]
14,0.9291858673095703,0,22,1,0,0.63799603560185,0.04347826086956519,1.0,0.043478260869565216,0.63799603560185,[0.63799603560185]
15,0.9035501480102539,1,19,0,0,0,-0.05263157894736836,0.0,0.0,0,[]
16,0.5723958015441895,1,0,0,0,0,0,0.0,0,0,[]
17,0.788142204284668,1,0,0,0,0,0,0.0,0,0,[]
18,0.9380271434783936,1,0,0,0,0,0,0.0,0,0,[]
19,0.6514136791229248,1,0,0,0,0,0,0.0,0,0,[]
20,0.7287173271179199,1,0,0,0,0,0,0.0,0,0,[]
21,0.613823413848877,1,0,0,0,0,0,0.0,0,0,[]
22,0.6195189952850342,1,0,0,0,0,0,0.0,0,0,[]
23,0.8172094821929932,1,0,0,0,0,0,0.0,0,0,[]
24,0.7451498508453369,1,0,0,0,0,0,0.0,0,0,[]
25,0.6920082569122314,1,0,0,0,0,0,0.0,0,0,[]
26,0.6384985446929932,1,0,0,0,0,0,0.0,0,0,[]
27,0.6051392555236816,1,0,0,0,0,0,0.0,0,0,[]
28,0.6220145225524902,1,0,0,0,0,0,0.0,0,0,[]
29,0.5534353256225586,1,0,0,0,0,0,0.0,0,0,[]
30,0.5642766952514648,1,0,0,0,0,0,0.0,0,0,[]
31,0.5582747459411621,1,0,0,0,0,0,0.0,0,0,[]
32,0.5755054950714111,1,0,0,0,0,0,0.0,0,0,[]
33,0.6029877662658691,1,0,0,0,0,0,0.0,0,0,[]
34,0.6751322746276855,1,0,0,0,0,0,0.0,0,0,[]
35,0.7162878513336182,1,0,0,0,0,0,0.0,0,0,[]
36,0.7665297985076904,2,0,0,0,0,0,0.0,0,0,[]
37,1.838789701461792,1,0,0,0,0,0,0.0,0,0,[]
40,0.5659911632537842,2,0,0,0,0,0,0.0,0,0,[]
41,0.47267603874206543,1,0,0,0,0,0,0.0,0,0,[]
42,0.4573819637298584,1,0,0,0,0,0,0.0,0,0,[]
43,0.4806091785430908,1,0,0,0,0,0,0.0,0,0,[]
44,0.4732851982116699,1,0,0,0,0,0,0.0,0,0,[]
45,0.4686899185180664,1,0,0,0,0,0,0.0,0,0,[]
46,0.4763624668121338,1,0,0,0,0,0,0.0,0,0,[]
